date,site_no,Temperature (C),Discharge (cfs),Gage Height (ft)
2021-01-01 00:00:00,12189500,5.6,5380.0,5.55
2021-01-01 00:15:00,12189500,5.6,5330.0,5.53
2021-01-01 00:30:00,12189500,5.6,5310.0,5.52
2021-01-01 00:45:00,12189500,5.6,5280.0,5.51
2021-01-01 01:00:00,12189500,5.6,5280.0,5.51
2021-01-01 01:15:00,12189500,5.6,5260.0,5.5
2021-01-01 01:30:00,12189500,5.6,5260.0,5.5
2021-01-01 01:45:00,12189500,5.6,5260.0,5.5
2021-01-01 02:00:00,12189500,5.6,5260.0,5.5
2021-01-01 02:15:00,12189500,5.6,5230.0,5.49
2021-01-01 02:30:00,12189500,5.6,5180.0,5.47
2021-01-01 02:45:00,12189500,5.6,5210.0,5.48
2021-01-01 03:00:00,12189500,5.6,5160.0,5.46
2021-01-01 03:15:00,12189500,5.6,5160.0,5.46
2021-01-01 03:30:00,12189500,5.6,5130.0,5.45
2021-01-01 03:45:00,12189500,5.6,5160.0,5.46
2021-01-01 04:00:00,12189500,5.6,5160.0,5.46
2021-01-01 04:15:00,12189500,5.6,5130.0,5.45
2021-01-01 04:30:00,12189500,5.6,5110.0,5.44
2021-01-01 04:45:00,12189500,5.6,5110.0,5.44
2021-01-01 05:00:00,12189500,5.5,5110.0,5.44
2021-01-01 05:15:00,12189500,5.5,5080.0,5.43
2021-01-01 05:30:00,12189500,5.5,5110.0,5.44
2021-01-01 05:45:00,12189500,5.5,5080.0,5.43
2021-01-01 06:00:00,12189500,5.5,5060.0,5.42
2021-01-01 06:15:00,12189500,5.5,5110.0,5.44
2021-01-01 06:30:00,12189500,5.5,5080.0,5.43
2021-01-01 06:45:00,12189500,5.5,5110.0,5.44
2021-01-01 07:00:00,12189500,5.5,5080.0,5.43
2021-01-01 07:15:00,12189500,5.5,5080.0,5.43
2021-01-01 07:30:00,12189500,5.5,5080.0,5.43
2021-01-01 07:45:00,12189500,5.5,5080.0,5.43
2021-01-01 08:00:00,12189500,5.5,5130.0,5.45
2021-01-01 08:15:00,12189500,5.5,5110.0,5.44
2021-01-01 08:30:00,12189500,5.5,5110.0,5.44
2021-01-01 08:45:00,12189500,5.5,5110.0,5.44
2021-01-01 09:00:00,12189500,5.5,5160.0,5.46
2021-01-01 09:15:00,12189500,5.5,5130.0,5.45
2021-01-01 09:30:00,12189500,5.5,5110.0,5.44
2021-01-01 09:45:00,12189500,5.5,5110.0,5.44
2021-01-01 10:00:00,12189500,5.5,5160.0,5.46
2021-01-01 10:15:00,12189500,5.5,5160.0,5.46
2021-01-01 10:30:00,12189500,5.5,5160.0,5.46
2021-01-01 10:45:00,12189500,5.5,5210.0,5.48
2021-01-01 11:00:00,12189500,5.5,5180.0,5.47
2021-01-01 11:15:00,12189500,5.5,5210.0,5.48
2021-01-01 11:30:00,12189500,5.5,5210.0,5.48
2021-01-01 11:45:00,12189500,5.5,5260.0,5.5
2021-01-01 12:00:00,12189500,5.6,5260.0,5.5
2021-01-01 12:15:00,12189500,5.6,5260.0,5.5
2021-01-01 12:30:00,12189500,5.6,5310.0,5.52
2021-01-01 12:45:00,12189500,5.6,5330.0,5.53
2021-01-01 13:00:00,12189500,5.6,5330.0,5.53
2021-01-01 13:15:00,12189500,5.6,5360.0,5.54
2021-01-01 13:30:00,12189500,5.6,5410.0,5.56
2021-01-01 13:45:00,12189500,5.6,5410.0,5.56
2021-01-01 14:00:00,12189500,5.6,5460.0,5.58
2021-01-01 14:15:00,12189500,5.7,5490.0,5.59
2021-01-01 14:30:00,12189500,5.6,5510.0,5.6
2021-01-01 14:45:00,12189500,5.7,5570.0,5.62
2021-01-01 15:00:00,12189500,5.7,5590.0,5.63
2021-01-01 15:15:00,12189500,5.7,5620.0,5.64
2021-01-01 15:30:00,12189500,5.7,5650.0,5.65
2021-01-01 15:45:00,12189500,5.7,5700.0,5.67
2021-01-01 16:00:00,12189500,5.7,5750.0,5.69
2021-01-01 16:15:00,12189500,5.7,5810.0,5.71
2021-01-01 16:30:00,12189500,5.7,5860.0,5.73
2021-01-01 16:45:00,12189500,5.8,5910.0,5.75
2021-01-01 17:00:00,12189500,5.8,5940.0,5.76
2021-01-01 17:15:00,12189500,5.8,6000.0,5.78
2021-01-01 17:30:00,12189500,5.8,6080.0,5.81
2021-01-01 17:45:00,12189500,5.8,6110.0,5.82
2021-01-01 18:00:00,12189500,5.8,6160.0,5.84
2021-01-01 18:15:00,12189500,5.8,6270.0,5.88
2021-01-01 18:30:00,12189500,5.8,6300.0,5.89
2021-01-01 18:45:00,12189500,5.8,6360.0,5.91
2021-01-01 19:00:00,12189500,5.8,6420.0,5.93
2021-01-01 19:15:00,12189500,5.8,6500.0,5.96
2021-01-01 19:30:00,12189500,5.8,6500.0,5.96
2021-01-01 19:45:00,12189500,5.8,6560.0,5.98
2021-01-01 20:00:00,12189500,5.8,6650.0,6.01
2021-01-01 20:15:00,12189500,5.8,6680.0,6.02
2021-01-01 20:30:00,12189500,5.8,6800.0,6.06
2021-01-01 20:45:00,12189500,5.8,6890.0,6.09
2021-01-01 21:00:00,12189500,5.8,7070.0,6.15
2021-01-01 21:15:00,12189500,5.8,7130.0,6.17
2021-01-01 21:30:00,12189500,5.8,7290.0,6.22
2021-01-01 21:45:00,12189500,5.8,7510.0,6.29
2021-01-01 22:00:00,12189500,5.8,7640.0,6.33
2021-01-01 22:15:00,12189500,5.8,7800.0,6.38
2021-01-01 22:30:00,12189500,5.8,7960.0,6.43
2021-01-01 22:45:00,12189500,5.8,8130.0,6.48
2021-01-01 23:00:00,12189500,5.8,8330.0,6.54
2021-01-01 23:15:00,12189500,5.8,8510.0,6.59
2021-01-01 23:30:00,12189500,5.8,8680.0,6.64
2021-01-01 23:45:00,12189500,5.8,8790.0,6.67
2021-01-02 00:00:00,12189500,5.8,8930.0,6.71
2021-01-02 00:15:00,12189500,5.8,9070.0,6.75
2021-01-02 00:30:00,12189500,5.8,9070.0,6.75
2021-01-02 00:45:00,12189500,5.8,9180.0,6.78
2021-01-02 01:00:00,12189500,5.8,9250.0,6.8
2021-01-02 01:15:00,12189500,5.7,9330.0,6.82
2021-01-02 01:30:00,12189500,5.7,9290.0,6.81
2021-01-02 01:45:00,12189500,5.7,9440.0,6.85
2021-01-02 02:00:00,12189500,5.7,9440.0,6.85
2021-01-02 02:15:00,12189500,5.7,9480.0,6.86
2021-01-02 02:30:00,12189500,5.6,9440.0,6.85
2021-01-02 02:45:00,12189500,5.6,9510.0,6.87
2021-01-02 03:00:00,12189500,5.6,9480.0,6.86
2021-01-02 03:15:00,12189500,5.6,9510.0,6.87
2021-01-02 03:30:00,12189500,5.6,9480.0,6.86
2021-01-02 03:45:00,12189500,5.6,9510.0,6.87
2021-01-02 04:00:00,12189500,5.6,9440.0,6.85
2021-01-02 04:15:00,12189500,5.6,9330.0,6.82
2021-01-02 04:30:00,12189500,5.6,9360.0,6.83
2021-01-02 04:45:00,12189500,5.6,9400.0,6.84
2021-01-02 05:00:00,12189500,5.6,9360.0,6.83
2021-01-02 05:15:00,12189500,5.6,9400.0,6.84
2021-01-02 05:30:00,12189500,5.6,9360.0,6.83
2021-01-02 05:45:00,12189500,5.6,9330.0,6.82
2021-01-02 06:00:00,12189500,5.6,9360.0,6.83
2021-01-02 06:15:00,12189500,5.6,9330.0,6.82
2021-01-02 06:30:00,12189500,5.6,9220.0,6.79
2021-01-02 06:45:00,12189500,5.6,9250.0,6.8
2021-01-02 07:00:00,12189500,5.6,9220.0,6.79
2021-01-02 07:15:00,12189500,5.6,9290.0,6.81
2021-01-02 07:30:00,12189500,5.6,9290.0,6.81
2021-01-02 07:45:00,12189500,5.6,9220.0,6.79
2021-01-02 08:00:00,12189500,5.6,9220.0,6.79
2021-01-02 08:15:00,12189500,5.6,9250.0,6.8
2021-01-02 08:30:00,12189500,5.6,9250.0,6.8
2021-01-02 08:45:00,12189500,5.6,9250.0,6.8
2021-01-02 09:00:00,12189500,5.6,9250.0,6.8
2021-01-02 09:15:00,12189500,5.6,9330.0,6.82
2021-01-02 09:30:00,12189500,5.6,9400.0,6.84
2021-01-02 09:45:00,12189500,5.6,9440.0,6.85
2021-01-02 10:00:00,12189500,5.6,9440.0,6.85
2021-01-02 10:15:00,12189500,5.6,9480.0,6.86
2021-01-02 10:30:00,12189500,5.6,9590.0,6.89
2021-01-02 10:45:00,12189500,5.6,9620.0,6.9
2021-01-02 11:00:00,12189500,5.6,9700.0,6.92
2021-01-02 11:15:00,12189500,5.6,9740.0,6.93
2021-01-02 11:30:00,12189500,5.6,9820.0,6.95
